phrase,meaning,example
on fleek #1044,"아주 멋진, 완벽한",Her makeup is on fleek today.
high-key #1045,"대놓고, 확실하게",I'm high-key excited for the trip.
hit different #1046,이전과 다르게 느껴지다,This song just hits different at night.
cap #1047,거짓말,He said he met Beyoncé. That’s cap.
flex #1048,과시하다,He likes to flex his new watch.
flex #1049,과시하다,He likes to flex his new watch.
flex #1050,과시하다,He likes to flex his new watch.
low-key #1051,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #1052,거짓말,He said he met Beyoncé. That’s cap.
cap #1053,거짓말,He said he met Beyoncé. That’s cap.
cap #1054,거짓말,He said he met Beyoncé. That’s cap.
ghost someone #1055,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
ghost someone #1056,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
no cap #1057,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #1058,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #1059,"진짜로, 거짓 없이","That movie was amazing, no cap."
hit different #1060,이전과 다르게 느껴지다,This song just hits different at night.
spill the tea #1061,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
throw shade #1062,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #1063,거짓말,He said he met Beyoncé. That’s cap.
no cap #1064,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #1065,"아주 멋진, 완벽한",Her makeup is on fleek today.
no cap #1066,"진짜로, 거짓 없이","That movie was amazing, no cap."
high-key #1067,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #1068,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
spill the tea #1069,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
high-key #1070,"대놓고, 확실하게",I'm high-key excited for the trip.
ghost someone #1071,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #1072,이전과 다르게 느껴지다,This song just hits different at night.
low-key #1073,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #1074,거짓말,He said he met Beyoncé. That’s cap.
throw shade #1075,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
throw shade #1076,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
low-key #1077,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #1078,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #1079,거짓말,He said he met Beyoncé. That’s cap.
no cap #1080,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #1081,과시하다,He likes to flex his new watch.
cap #1082,거짓말,He said he met Beyoncé. That’s cap.
spill the tea #1083,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #1084,과시하다,He likes to flex his new watch.
hit different #1085,이전과 다르게 느껴지다,This song just hits different at night.
high-key #1086,"대놓고, 확실하게",I'm high-key excited for the trip.
no cap #1087,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #1088,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
spill the tea #1089,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
cap #1090,거짓말,He said he met Beyoncé. That’s cap.
spill the tea #1091,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #1092,과시하다,He likes to flex his new watch.
cap #1093,거짓말,He said he met Beyoncé. That’s cap.
on fleek #1094,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #1095,거짓말,He said he met Beyoncé. That’s cap.
hit different #1096,이전과 다르게 느껴지다,This song just hits different at night.
hit different #1097,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #1098,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #1099,과시하다,He likes to flex his new watch.
cap #1100,거짓말,He said he met Beyoncé. That’s cap.
throw shade #1101,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #1102,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #1103,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #1104,과시하다,He likes to flex his new watch.
low-key #1105,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
ghost someone #1106,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #1107,과시하다,He likes to flex his new watch.
spill the tea #1108,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #1109,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #1110,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #1111,거짓말,He said he met Beyoncé. That’s cap.
cap #1112,거짓말,He said he met Beyoncé. That’s cap.
high-key #1113,"대놓고, 확실하게",I'm high-key excited for the trip.
no cap #1114,"진짜로, 거짓 없이","That movie was amazing, no cap."
spill the tea #1115,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
flex #1116,과시하다,He likes to flex his new watch.
high-key #1117,"대놓고, 확실하게",I'm high-key excited for the trip.
throw shade #1118,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
spill the tea #1119,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #1120,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #1121,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
high-key #1122,"대놓고, 확실하게",I'm high-key excited for the trip.
cap #1123,거짓말,He said he met Beyoncé. That’s cap.
hit different #1124,이전과 다르게 느껴지다,This song just hits different at night.
high-key #1125,"대놓고, 확실하게",I'm high-key excited for the trip.
on fleek #1126,"아주 멋진, 완벽한",Her makeup is on fleek today.
no cap #1127,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #1128,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
flex #1129,과시하다,He likes to flex his new watch.
low-key #1130,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #1131,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #1132,과시하다,He likes to flex his new watch.
ghost someone #1133,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #1134,과시하다,He likes to flex his new watch.
ghost someone #1135,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #1136,과시하다,He likes to flex his new watch.
no cap #1137,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #1138,과시하다,He likes to flex his new watch.
throw shade #1139,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #1140,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #1141,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #1142,과시하다,He likes to flex his new watch.
ghost someone #1143,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
hit different #1144,이전과 다르게 느껴지다,This song just hits different at night.
hit different #1145,이전과 다르게 느껴지다,This song just hits different at night.
hit different #1146,이전과 다르게 느껴지다,This song just hits different at night.
no cap #1147,"진짜로, 거짓 없이","That movie was amazing, no cap."
cap #1148,거짓말,He said he met Beyoncé. That’s cap.
hit different #1149,이전과 다르게 느껴지다,This song just hits different at night.
hit different #1150,이전과 다르게 느껴지다,This song just hits different at night.
high-key #1151,"대놓고, 확실하게",I'm high-key excited for the trip.
spill the tea #1152,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
hit different #1153,이전과 다르게 느껴지다,This song just hits different at night.
low-key #1154,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
cap #1155,거짓말,He said he met Beyoncé. That’s cap.
throw shade #1156,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #1157,"진짜로, 거짓 없이","That movie was amazing, no cap."
low-key #1158,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #1159,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #1160,과시하다,He likes to flex his new watch.
no cap #1161,"진짜로, 거짓 없이","That movie was amazing, no cap."
no cap #1162,"진짜로, 거짓 없이","That movie was amazing, no cap."
on fleek #1163,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #1164,"아주 멋진, 완벽한",Her makeup is on fleek today.
on fleek #1165,"아주 멋진, 완벽한",Her makeup is on fleek today.
cap #1166,거짓말,He said he met Beyoncé. That’s cap.
flex #1167,과시하다,He likes to flex his new watch.
low-key #1168,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
no cap #1169,"진짜로, 거짓 없이","That movie was amazing, no cap."
flex #1170,과시하다,He likes to flex his new watch.
ghost someone #1171,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #1172,과시하다,He likes to flex his new watch.
ghost someone #1173,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
no cap #1174,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #1175,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
cap #1176,거짓말,He said he met Beyoncé. That’s cap.
spill the tea #1177,소문을 퍼뜨리다,She spilled the tea about her ex-boyfriend.
no cap #1178,"진짜로, 거짓 없이","That movie was amazing, no cap."
throw shade #1179,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #1180,"아주 멋진, 완벽한",Her makeup is on fleek today.
throw shade #1181,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
no cap #1182,"진짜로, 거짓 없이","That movie was amazing, no cap."
ghost someone #1183,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
throw shade #1184,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
high-key #1185,"대놓고, 확실하게",I'm high-key excited for the trip.
low-key #1186,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
on fleek #1187,"아주 멋진, 완벽한",Her makeup is on fleek today.
flex #1188,과시하다,He likes to flex his new watch.
cap #1189,거짓말,He said he met Beyoncé. That’s cap.
hit different #1190,이전과 다르게 느껴지다,This song just hits different at night.
flex #1191,과시하다,He likes to flex his new watch.
throw shade #1192,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
ghost someone #1193,연락을 끊고 잠수 타다,He totally ghosted me after our second date.
flex #1194,과시하다,He likes to flex his new watch.
hit different #1195,이전과 다르게 느껴지다,This song just hits different at night.
throw shade #1196,"빈정거리다, 몰래 디스하다",She was throwing shade at her coworker all day.
on fleek #1197,"아주 멋진, 완벽한",Her makeup is on fleek today.
low-key #1198,"비밀스럽게, 조용히",I low-key love watching cheesy dramas.
